origin,month,basso_count,basso_dep_delay_avg,basso_arr_delay_avg,medio_count,medio_dep_delay_avg,medio_arr_delay_avg,alto_count,alto_dep_delay_avg,alto_arr_delay_avg,top_causa_1,top_causa_2,top_causa_3
IAH,6,8920,6.281165919282511,3.0153153153153154,7084,32.241106719367586,28.536182336182335,5308,145.07309721175585,141.55555555555554,carrier_delay,late_aircraft_delay,nas_delay
IAH,7,7728,6.418219461697722,3.1071800208116547,8264,33.45062923523717,29.787378640776698,7844,146.19785823559408,141.2135523613963,carrier_delay,late_aircraft_delay,nas_delay
IAH,8,7940,6.052392947103274,0.7853164556962026,6220,31.434726688102895,24.873139158576052,3864,143.35507246376812,137.72460732984294,carrier_delay,late_aircraft_delay,nas_delay
IAH,9,5456,5.849706744868035,-0.23330887747615553,4148,31.69141755062681,24.089855072463767,2160,121.17407407407407,110.57355679702049,carrier_delay,late_aircraft_delay,nas_delay
IAH,10,6620,5.957703927492447,-1.0078644888082275,3900,30.655384615384616,22.896197327852004,1948,138.17453798767968,128.46296296296296,carrier_delay,late_aircraft_delay,nas_delay
IAH,11,6604,6.113264688067837,0.6278787878787879,3952,30.92914979757085,24.160081053698075,2000,133.324,127.14629258517034,carrier_delay,nas_delay,late_aircraft_delay
IAH,12,8408,6.018553758325404,-1.0372670807453417,5740,31.415331010452963,24.948879551820728,3448,154.04640371229698,153.2280701754386,carrier_delay,nas_delay,late_aircraft_delay
ICT,1,368,6.521739130434782,6.695652173913044,288,30.416666666666668,32.90277777777778,264,176.8181818181818,181.52307692307693,nas_delay,late_aircraft_delay,carrier_delay
ICT,2,236,6.305084745762712,1.1864406779661016,192,34.625,28.166666666666668,96,129.75,125.375,carrier_delay,nas_delay,late_aircraft_delay
ICT,3,376,7.074468085106383,3.4468085106382977,244,32.18032786885246,25.901639344262296,180,159.4,155.46666666666667,late_aircraft_delay,nas_delay,carrier_delay
ICT,4,412,6.048543689320389,1.7572815533980584,320,33.95,32.037974683544306,196,192.77551020408163,190.1875,carrier_delay,late_aircraft_delay,nas_delay
ICT,5,508,6.661417322834645,7.182539682539683,456,30.912280701754387,29.946428571428573,328,185.109756097561,188.65432098765433,nas_delay,carrier_delay,late_aircraft_delay
ICT,6,448,6.651785714285714,3.857142857142857,436,32.00917431192661,28.110091743119266,360,174.34444444444443,169.4111111111111,late_aircraft_delay,carrier_delay,nas_delay
ICT,7,496,7.040322580645161,6.225806451612903,464,33.01724137931034,31.114035087719298,276,135.7826086956522,131.6231884057971,late_aircraft_delay,carrier_delay,nas_delay
ICT,8,396,6.575757575757576,3.878787878787879,360,33.544444444444444,29.247191011235955,284,161.0281690140845,148.80281690140845,late_aircraft_delay,carrier_delay,nas_delay
ICT,9,288,6.375,3.4722222222222223,192,34.145833333333336,31.8125,124,203.80645161290323,200.90322580645162,nas_delay,carrier_delay,late_aircraft_delay
ICT,10,288,5.638888888888889,0.4722222222222222,276,32.31884057971015,26.985507246376812,140,152.34285714285716,145.25714285714287,carrier_delay,nas_delay,late_aircraft_delay
ICT,11,400,6.67,2.74,408,33.8235294117647,29.57843137254902,268,149.88059701492537,145.37878787878788,carrier_delay,nas_delay,late_aircraft_delay
